,name,often_tested,multirun,boxcox_lmbda
0,test_links_with_same_resource,0.0,-1.0,-0.3260524396705315
1,test_links_with_same_resource,0.0,-1.0,-0.3260524396705315
2,test_links_with_same_resource,0.0,-1.0,-0.3260524396705315
3,test_links_with_same_resource,0.0,-1.0,-0.3260524396705315
4,test_base_link,0.0,-1.0,-0.3260524396705315
5,test_base_link,0.0,-1.0,-0.3260524396705315
6,test_base_link,0.0,-1.0,-0.3260524396705315
7,test_base_link,0.0,-1.0,-0.3260524396705315
8,test_base_link,0.0,-1.0,-0.3260524396705315
9,test_base_link,0.0,-1.0,-0.3260524396705315
10,test_base_link,0.0,-1.0,-0.3260524396705315
11,test_base_link,0.0,-1.0,-0.3260524396705315
12,test_base_link,0.0,-1.0,-0.3260524396705315
13,test_img_link,0.0,-1.0,-0.3260524396705315
14,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
15,test_tables_struct,0.0,-1.0,-0.3260524396705315
16,test_tables_struct,0.0,-1.0,-0.3260524396705315
17,test_img_link,0.0,-1.0,-0.3260524396705315
18,test_img_link,0.0,-1.0,-0.3260524396705315
19,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
20,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
21,test_visible_list,0.0,-1.0,-0.3260524396705315
22,test_visible_list,0.0,-1.0,-0.3260524396705315
23,test_related_elements_as_list,0.0,-1.0,-0.3260524396705315
24,test_related_elements_as_list,0.0,-1.0,-0.3260524396705315
25,test_tables_struct,0.0,-1.0,-0.3260524396705315
26,test_tables_struct,0.0,-1.0,-0.3260524396705315
27,test_markup,0.0,-1.0,-0.3260524396705315
28,test_markup,0.0,-1.0,-0.3260524396705315
29,test_base_link,0.0,-1.0,-0.3260524396705315
30,test_base_link,0.0,-1.0,-0.3260524396705315
31,test_base_list,0.0,-1.0,-0.3260524396705315
32,test_base_list,0.0,-1.0,-0.3260524396705315
33,test_img_link,0.0,-1.0,-0.3260524396705315
34,test_svg_icon_link,0.0,-1.0,-0.3260524396705315
35,test_visible_list,0.0,-1.0,-0.3260524396705315
36,test_visible_list,0.0,-1.0,-0.3260524396705315
37,test_related_elements_as_list,0.0,-1.0,-0.3260524396705315
38,test_base_list,0.0,-1.0,-0.3260524396705315
39,test_base_list,0.0,-1.0,-0.3260524396705315
40,test_visible_list,0.0,-1.0,-0.3260524396705315
41,test_visible_list,0.0,-1.0,-0.3260524396705315
42,test_visible_list,0.0,-1.0,-0.3260524396705315
43,test_visible_list,0.0,-1.0,-0.3260524396705315
44,test_related_elements_as_list,0.0,-1.0,-0.3260524396705315
45,test_related_elements_as_list,0.0,-1.0,-0.3260524396705315
46,test_related_elements_as_list,0.0,-1.0,-0.3260524396705315
